subject,party,prime_type,rating,self_exclusion_1,complete_data,prime_identity
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,4
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,3
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,4
24223154,democrat,prime_type_A,0,"Yes, use my data",TRUE,5
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,4
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,5
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,1
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,3
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,2
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,6
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,4
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,2
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,1
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,6
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,2
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,5
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,6
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,1
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,5
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,5
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,3
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,3
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,1
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,1
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,2
24223154,democrat,prime_type_A,0,"Yes, use my data",TRUE,4
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,6
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,5
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,6
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,4
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,4
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,3
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,3
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,2
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,1
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,2
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,6
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,3
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,2
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,4
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,5
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,1
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,5
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,2
24223154,democrat,prime_type_A,0,"Yes, use my data",TRUE,6
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,6
24223154,democrat,prime_type_B,1,"Yes, use my data",TRUE,3
24223154,democrat,prime_type_A,1,"Yes, use my data",TRUE,1
